iter	Passed	Remaining
771	1209	357
772	1210	355
773	1211	353
774	1212	351
775	1214	350
776	1215	348
777	1217	347
778	1218	345
779	1219	344
780	1220	342
781	1221	340
782	1222	338
783	1223	337
784	1224	335
785	1225	333
786	1225	331
787	1226	330
788	1227	328
789	1230	326
790	1231	325
791	1232	323
792	1233	322
793	1234	320
794	1235	318
795	1236	317
796	1237	315
797	1238	313
798	1239	311
799	1240	310
800	1241	308
801	1242	306
802	1243	305
803	1245	303
804	1247	302
805	1248	300
806	1249	298
807	1250	297
808	1251	295
809	1252	293
810	1253	292
811	1254	290
812	1255	288
813	1256	287
814	1256	285
815	1258	283
816	1260	282
817	1261	280
818	1263	279
819	1264	277
820	1265	275
821	1266	274
822	1267	272
823	1268	270
824	1269	269
825	1270	267
826	1271	265
827	1272	264
828	1273	262
829	1275	261
830	1276	259
831	1277	257
832	1278	256
833	1279	254
834	1280	253
835	1281	251
836	1282	249
837	1283	248
838	1284	246
839	1285	244
840	1286	243
841	1287	241
842	1289	240
843	1291	238
844	1292	237
845	1293	235
846	1294	233
847	1295	232
848	1296	230
849	1297	228
850	1298	227
851	1299	225
852	1300	224
853	1301	222
854	1302	220
855	1304	219
856	1305	217
857	1306	216
858	1307	214
859	1308	213
860	1309	211
861	1310	209
862	1311	208
863	1312	206
864	1313	204
865	1314	203
866	1315	201
867	1316	200
868	1316	198
869	1318	197
870	1319	195
871	1321	193
872	1322	192
873	1323	190
874	1324	189
875	1325	187
876	1326	185
877	1326	184
878	1327	182
879	1328	181
880	1329	179
881	1331	178
882	1332	176
883	1334	175
884	1335	173
885	1337	172
886	1338	170
887	1339	168
888	1340	167
889	1342	165
890	1343	164
891	1344	162
892	1345	161
893	1346	159
894	1348	158
895	1349	156
896	1350	155
897	1351	153
898	1352	151
899	1353	150
900	1354	148
901	1355	147
902	1357	145
903	1358	144
904	1359	142
905	1360	141
906	1361	139
907	1362	138
908	1364	136
909	1365	135
910	1366	133
911	1367	131
912	1368	130
913	1369	128
914	1370	127
915	1372	125
916	1373	124
917	1374	122
918	1375	121
919	1376	119
920	1377	118
921	1379	116
922	1380	115
923	1381	113
924	1383	112
925	1384	110
926	1385	109
927	1386	107
928	1387	106
929	1388	104
930	1389	102
931	1390	101
